movie_id,movie_name,year,certificate,runtime,genre,rating,description,director,director_id,star,star_id,votes,gross(in $)
tt3915174,Puss in Boots: The Last Wish,2022,PG,102 min,"Animation, Adventure, Comedy",7.9,"When Puss in Boots discovers that his passion for adventure has taken its toll and he has burned through eight of his nine lives, he launches an epic journey to restore them by finding the mythical Last Wish.","Joel Crawford, 
Januel Mercado",/name/nm3150455/,"Antonio Banderas, 
Salma Hayek, 
Harvey Guillén, 
Florence Pugh","/name/nm2591093/,/name/nm0000104/,/name/nm0000161/,/name/nm2957490/,/name/nm6073955/",93143.0,168464485.0
tt6718170,The Super Mario Bros. Movie,2023,PG,92 min,"Animation, Adventure, Comedy",,The story of The Super Mario Bros. on their journey through the Mushroom Kingdom,"Aaron Horvath, 
Michael Jelenic",/name/nm1739338/,"Chris Pratt, 
Anya Taylor-Joy, 
Charlie Day, 
Jack Black","/name/nm2398585/,/name/nm0695435/,/name/nm5896355/,/name/nm0206359/,/name/nm0085312/",,
tt26537229,Demon Slayer: Kimetsu No Yaiba - To the Swordsmith Village,2023,R,110 min,"Animation, Action, Adventure",6.6,All the Upper Rank Demons assemble at the Infinity Castle after Upper Six Demons' defeat.,Haruo Sotozaki,/name/nm1417038/,"Zach Aguilar, 
Kira Buckland, 
Griffin Burns, 
Ray Chase","/name/nm6450743/,/name/nm2299231/,/name/nm4232585/,/name/nm2616557/",1316.0,
tt1488589,Guillermo del Toro's Pinocchio,2022,PG,117 min,"Animation, Drama, Family",7.6,"A father's wish magically brings a wooden boy to life in Italy, giving him a chance to care for the child.","Guillermo del Toro, 
Mark Gustafson",/name/nm0868219/,"Ewan McGregor, 
David Bradley, 
Gregory Mann, 
Burn Gorman","/name/nm0348993/,/name/nm0000191/,/name/nm0103195/,/name/nm9640481/,/name/nm1218607/",86296.0,
tt14668630,"Lyle, Lyle, Crocodile",2022,PG,106 min,"Animation, Adventure, Comedy",6.1,Feature film based on the children's book about a crocodile that lives in New York City.,"Josh Gordon, 
Will Speck",/name/nm0330347/,"Javier Bardem, 
Winslow Fegley, 
Shawn Mendes, 
Constance Wu","/name/nm0817447/,/name/nm0000849/,/name/nm9121761/,/name/nm6658398/,/name/nm2090422/",9351.0,46888441.0
tt6105098,The Lion King,2019,PG,118 min,"Animation, Adventure, Drama",6.8,"After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery.",Jon Favreau,/name/nm0269463/,"Donald Glover, 
Beyoncé, 
Seth Rogen, 
Chiwetel Ejiofor","/name/nm2255973/,/name/nm0461498/,/name/nm0736622/,/name/nm0252230/",250061.0,543638043.0
tt15339456,Marcel the Shell with Shoes On,2021,PG,90 min,"Animation, Comedy, Drama",7.7,Feature adaptation of the animated short film interviewing a mollusk named Marcel.,Dean Fleischer Camp,/name/nm3255797/,"Jenny Slate, 
Dean Fleischer Camp, 
Isabella Rossellini, 
Joe Gabler","/name/nm2809577/,/name/nm3255797/,/name/nm0000618/,/name/nm4726706/",14613.0,5792525.0
tt2953050,Encanto,2021,PG,102 min,"Animation, Comedy, Family",7.2,A Colombian teenage girl has to face the frustration of being the only member of her family without magical powers.,"Jared Bush, 
Byron Howard, 
Charise Castro Smith",/name/nm1158544/,"Stephanie Beatriz, 
María Cecilia Botero, 
John Leguizamo, 
Mauro Castillo","/name/nm0397174/,/name/nm4146781/,/name/nm3715867/,/name/nm1239720/,/name/nm0000491/,/name/nm8871347/",230458.0,96093622.0
tt6467266,Sing 2,2021,PG,110 min,"Animation, Adventure, Comedy",7.4,Buster Moon and his friends must persuade reclusive rock star Clay Calloway to join them for the opening of a new show.,"Garth Jennings, 
Christophe Lourdelet",/name/nm1134029/,"Matthew McConaughey, 
Reese Witherspoon, 
Scarlett Johansson, 
Tori Kelly","/name/nm2888554/,/name/nm0000190/,/name/nm0000702/,/name/nm0424060/,/name/nm1812991/",72595.0,162790990.0
tt23177868,Mummies,2023,PG,88 min,"Animation, Comedy, Family",6.0,"It follows three mummies as they end up in present-day London and embark on a journey in search of an old ring belonging to the Royal Family, stolen by the ambitious archaeologist Lord Carnaby.",Juan Jesús García Galocha,/name/nm5231416/,"Óscar Barberán, 
Ana Esther Alborg, 
Luis Pérez Reina, 
María Luisa Solá","/name/nm1504627/,/name/nm1617448/,/name/nm14243557/,/name/nm1409021/",749.0,
